job_name,trial_name,task,condition,agent,model,reward,success,exception_type,agent_timeout,verifier_timeout,cost_usd,input_tokens,output_tokens,cache_tokens,env_setup_sec,agent_setup_sec,agent_sec,verifier_sec,wall_sec,tests_total,tests_passed,tests_failed,tests_skipped,partial_credit,ctrf_found,n_steps,n_llm_calls,n_tool_calls,thinking_tokens,sidechain_steps,sidechain_share,n_agent_spawns,n_skill_calls,skills_called,skill_call_sequence,n_bash,bash_test,bash_build,bash_inspect,bash_other,n_read,n_edit,n_write,n_edits_total,files_touched,edits_per_file,wrote_test_file,time_to_first_edit_sec,explore_share,error_observations,error_rate,config_markers,n_config_reads,traj_span_sec,trajectory_found,skills_registered,n_skills_registered,toolkit_skills,n_toolkit_skills,n_toolkit_skills_registered,n_toolkit_skill_calls,n_foreign_skill_calls,used_toolkit_skill,cache_hit_ratio,thinking_share,difficulty,category,axes,expert_min,budget_sec,instruction_words,requirement_lines,test_code_bytes,requires_own_tests,budget_used
prog16-claude-baseline-regex-chess,regex-chess__zmTB2he,regex-chess,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,2.2468754,4789162,88898,4683837,1.470785,63.564097,3109.271096,89.812079,3275.915527,4,4,0,0,1.0,True,43,43,42,73967,0,0.0,0,0,,,32,2,0,4,26,1,1,2,3,2,1.5,False,847.052,0.11627906976744186,1,0.023809523809523808,,0,3108.313,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.9780076347386035,0.8320434655447817,hard,software-engineering,long-horizon,1440.0,3600.0,244,6,5985,False,0.8636864155555556
prog16-claude-baseline-schemelike-metacircular-eval,schemelike-metacircular-eval__jjb6vYg,schemelike-metacircular-eval,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,1.1237527999999999,1574212,53256,1501464,1.487829,65.493617,787.78036,66.765229,933.314317,1,1,0,0,1.0,True,23,23,22,43873,0,0.0,0,0,,,16,0,1,8,7,3,2,1,3,1,3.0,False,422.817,0.4782608695652174,6,0.2727272727272727,,0,786.806,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.9537876728166219,0.8238132792549197,medium,software-engineering,long-horizon;verification-heavy;greenfield-algorithmic,300.0,2400.0,181,0,25009,False,0.32824181666666663
prog16-claude-baseline-sqlite-db-truncate,sqlite-db-truncate__VV4RLbQ,sqlite-db-truncate,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,0.2307494,284901,8707,262077,1.249267,62.829352,97.858439,4.335132,178.041961,1,1,0,0,1.0,True,8,8,7,5416,0,0.0,0,0,,,7,0,0,1,6,0,0,0,0,0,,False,,,2,0.2857142857142857,,0,96.616,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify;workflow-authoring,15,,0,0,0,0,False,0.9198879610812177,0.6220282531296658,medium,debugging,underspecified;diagnose-first;modify-existing,60.0,900.0,42,0,1705,False,0.10873159888888889
prog16-claude-baseline-torch-pipeline-parallelism,torch-pipeline-parallelism__kFo4dNq,torch-pipeline-parallelism,baseline,claude-code,claude-sonnet-5,0.0,False,,False,False,0.752585,1759202,24412,1717945,1.645611,93.684704,619.347994,154.53854,881.698641,3,2,1,0,0.6666666666666666,True,38,38,37,11572,0,0.0,0,0,,,30,8,5,5,12,1,3,3,6,3,2.0,True,175.878,0.39473684210526316,5,0.13513513513513514,,0,618.484,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify;workflow-authoring,15,,0,0,0,0,False,0.9765478893270926,0.47402916598394235,hard,software-engineering,spec-dense;long-horizon;greenfield-algorithmic,240.0,900.0,264,0,6721,False,0.6881644377777777
prog16-claude-baseline-torch-tensor-parallelism,torch-tensor-parallelism__2tKWMV4,torch-tensor-parallelism,baseline,claude-code,claude-sonnet-5,0.0,False,,False,False,0.22124100000000002,250902,11486,236105,1.971468,188.606428,119.308812,127.717264,450.012393,3,2,1,0,0.6666666666666666,True,7,7,6,7837,0,0.0,0,0,,,5,0,0,3,2,0,0,1,1,1,1.0,False,67.782,0.0,3,0.5,,0,118.338,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify;workflow-authoring,15,,0,0,0,0,False,0.9410247825844353,0.6823088977886123,hard,software-engineering,long-horizon;greenfield-algorithmic,240.0,900.0,179,0,7799,False,0.13256534666666667
prog16-claude-codezen-viable-build-cython-ext,build-cython-ext__4PnQG8M,build-cython-ext,codezen-viable,claude-code,claude-sonnet-5,1.0,True,AgentTimeoutError,True,False,2.316988099999999,6535723,61061,6362098,2.038996,48.492597,900.00436,6.185315,971.943607,11,11,0,0,1.0,True,104,104,113,28862,39,0.375,2,1,code-review,code-review,89,11,21,35,22,9,11,0,11,6,1.8333333333333333,False,282.772,0.22115384615384615,21,0.20588235294117646,CLAUDE.md,0,894.993,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,1,0,True,0.973434461650226,0.47267486611748905,medium,debugging,diagnose-first;modify-existing;environment-engineering,60.0,900.0,223,0,6367,False,1.0000048444444445
prog16-claude-codezen-viable-build-pmars,build-pmars__JTAjW7Y,build-pmars,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,0.4198246,1180102,7250,1150783,2.095448,76.666785,135.416181,4.326694,230.425032,4,4,0,0,1.0,True,27,27,26,2942,0,0.0,0,0,,,21,0,6,4,11,4,1,0,1,1,1.0,False,95.501,0.6296296296296297,4,0.15384615384615385,,0,134.231,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,0,0,False,0.9751555374026991,0.40579310344827585,medium,software-engineering,diagnose-first;environment-engineering,90.0,900.0,84,0,3546,False,0.15046242333333332
prog16-claude-codezen-viable-cancel-async-tasks,cancel-async-tasks__ZGYpzJA,cancel-async-tasks,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,1.8685728,1731890,109183,1603674,1.663563,63.355756,604.379686,17.578388,698.842387,6,6,0,0,1.0,True,30,30,31,78395,6,0.2,6,2,code-review;noc-tdd,noc-tdd;code-review,11,8,0,1,2,6,2,4,6,3,2.0,True,173.034,0.23333333333333334,11,0.4782608695652174,CLAUDE.md,0,603.35,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,2,0,True,0.9259675845463626,0.7180147092496084,hard,software-engineering,greenfield-algorithmic,120.0,900.0,88,0,5565,False,0.6715329844444444
prog16-claude-codezen-viable-circuit-fibsqrt,circuit-fibsqrt__DQw3zvb,circuit-fibsqrt,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,1.2353497999999998,1361400,66738,1283569,1.705169,58.545394,742.104615,5.918852,820.053868,3,3,0,0,1.0,True,17,17,17,56449,0,0.0,0,0,,,12,3,3,2,4,2,2,1,3,2,1.5,False,462.286,0.23529411764705882,1,0.0625,,0,740.832,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,0,0,False,0.9428301748200382,0.8458299619407235,hard,software-engineering,long-horizon;verification-heavy;greenfield-algorithmic,960.0,3600.0,140,0,13780,False,0.20614017083333333
prog16-claude-codezen-viable-custom-memory-heap-crash,custom-memory-heap-crash__cRyouTk,custom-memory-heap-crash,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,1.3684270000000003,3182987,44354,3107075,5.914143,138.102575,569.316247,13.441575,738.58079,6,6,0,0,1.0,True,44,44,43,33921,0,0.0,0,0,,,37,0,11,12,14,1,5,0,5,1,5.0,False,91.865,0.18181818181818182,13,0.3023255813953488,,0,568.214,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,0,0,False,0.9761507037257771,0.7647788249086892,medium,debugging,diagnose-first;modify-existing,30.0,1800.0,130,2,6839,False,0.31628680388888886
prog16-claude-codezen-viable-fix-ocaml-gc,fix-ocaml-gc__dpBmDxQ,fix-ocaml-gc,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,0.6485052,1227029,12986,1155106,1.823985,62.567354,750.968588,548.754399,1376.36606,1,1,0,0,1.0,True,17,17,21,9834,0,0.0,0,0,,,18,0,4,8,6,2,1,0,1,1,1.0,False,116.489,0.47058823529411764,2,0.125,,0,749.706,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,0,0,False,0.9413844334567479,0.7572770676112737,hard,software-engineering,long-horizon;diagnose-first;modify-existing,1440.0,3600.0,76,0,1969,False,0.20860238555555555
prog16-claude-codezen-viable-kv-store-grpc,kv-store-grpc__oeDESQ4,kv-store-grpc,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,0.2721824,688652,5673,668182,1.46329,65.404895,96.537932,2.425419,177.736071,7,7,0,0,1.0,True,16,16,15,1682,0,0.0,0,1,noc-tdd,noc-tdd,10,3,1,2,4,1,0,3,3,3,1.0,True,48.987,0.3125,3,0.2,CLAUDE.md,0,95.464,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,1,0,True,0.9702752623966822,0.2964921558258417,medium,software-engineering,quick,15.0,900.0,185,5,6371,False,0.10726436888888889
prog16-claude-codezen-viable-make-mips-interpreter,make-mips-interpreter__hcgVokm,make-mips-interpreter,codezen-viable,claude-code,claude-sonnet-5,0.0,False,AgentTimeoutError,True,False,4.337104600000002,10060511,157230,9733213,1.829076,47.721565,1800.002639,36.293583,1899.533749,3,0,3,0,0.0,True,83,83,101,103607,12,0.14457831325301204,7,1,code-review,code-review,64,0,0,39,25,15,6,2,8,2,4.0,False,1067.252,0.4819277108433735,7,0.08641975308641975,AGENTS.md;CLAUDE.md,2,1799.063,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,1,0,True,0.9674670600727935,0.6589518539718883,hard,software-engineering,long-horizon;greenfield-algorithmic,480.0,1800.0,83,0,4311,False,1.0000014661111112
prog16-claude-codezen-viable-path-tracing,path-tracing__fVaqspr,path-tracing,codezen-viable,claude-code,claude-sonnet-5,1.0,True,AgentTimeoutError,True,False,2.9053408000000007,8549734,91376,8427244,1.969794,83.78163,1800.003316,20.591047,1920.267889,5,5,0,0,1.0,True,93,93,93,56058,0,0.0,0,0,,,71,0,10,13,48,12,5,5,10,5,2.0,False,425.425,0.25806451612903225,5,0.053763440860215055,,0,1796.327,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,0,0,False,0.9856732384890571,0.6134871300998074,hard,software-engineering,long-horizon;greenfield-algorithmic,360.0,1800.0,143,0,4822,False,1.0000018422222223
prog16-claude-codezen-viable-path-tracing-reverse,path-tracing-reverse__wKcqBzK,path-tracing-reverse,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,2.06004,4232524,73089,4105470,1.289899,85.748892,841.652026,10.770016,951.343694,3,3,0,0,1.0,True,40,40,39,59247,0,0.0,0,0,,,37,0,3,11,23,0,1,1,2,1,2.0,False,784.461,0.775,5,0.1282051282051282,,0,840.53,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,0,0,False,0.9699815051255468,0.8106144563477404,hard,software-engineering,modify-existing,120.0,1800.0,87,0,4076,False,0.4675844588888889
prog16-claude-codezen-viable-polyglot-rust-c,polyglot-rust-c__sxTnbS2,polyglot-rust-c,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,0.6991591999999999,471888,42757,425246,1.435613,81.165653,496.446688,7.190333,598.112209,1,1,0,0,1.0,True,7,7,6,41061,0,0.0,0,0,,,5,0,0,0,5,0,0,1,1,1,1.0,False,476.975,0.14285714285714285,0,0.0,,0,495.372,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,0,0,False,0.9011587495337877,0.96033398040087,hard,software-engineering,underspecified;greenfield-algorithmic,180.0,900.0,59,0,2246,False,0.5516074311111111
prog16-claude-codezen-viable-regex-chess,regex-chess__asqqFax,regex-chess,codezen-viable,claude-code,claude-sonnet-5,1.0,True,AgentTimeoutError,True,False,2.4217013999999994,5148626,109165,5018032,1.789141,63.706842,3600.001346,148.731665,3828.279087,4,4,0,0,1.0,True,40,40,40,90112,0,0.0,0,0,,,28,1,0,7,20,3,3,1,4,1,4.0,False,990.65,0.1,1,0.02564102564102564,,0,3057.901,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify,17,code-review;noc-fix;noc-tdd;security-review,4,4,0,0,False,0.9746351745106364,0.8254660376494297,hard,software-engineering,long-horizon,1440.0,3600.0,244,6,5985,False,1.000000373888889
prog16-claude-codezen-viable-schemelike-metacircular-eval,schemelike-metacircular-eval__ggvt7sQ,schemelike-metacircular-eval,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,7.100272199999997,11073739,330981,10536116,1.288629,63.216011,2344.229291,179.308499,2599.915094,1,1,0,0,1.0,True,117,117,137,254962,65,0.5555555555555556,9,2,code-review;security-review,code-review;security-review,73,2,1,23,47,36,0,4,4,3,1.3333333333333333,False,825.957,0.05128205128205128,32,0.31683168316831684,AGENTS.md;CLAUDE.md,1,2343.267,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify;workflow-authoring,18,code-review;noc-fix;noc-tdd;security-review,4,4,2,0,True,0.9514506346952912,0.7703221635078751,medium,software-engineering,long-horizon;verification-heavy;greenfield-algorithmic,300.0,2400.0,181,0,25009,False,0.9767622045833334
prog16-claude-codezen-viable-sqlite-db-truncate,sqlite-db-truncate__ue8Zboh,sqlite-db-truncate,codezen-viable,claude-code,claude-sonnet-5,1.0,True,,False,False,0.15553819999999996,185813,7283,173821,1.581122,61.17808,78.222651,4.191235,156.95486,1,1,0,0,1.0,True,6,6,5,4368,0,0.0,0,0,,,5,0,0,3,2,0,0,0,0,0,,False,,,1,0.2,,0,76.494,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify;workflow-authoring,18,code-review;noc-fix;noc-tdd;security-review,4,4,0,0,False,0.9354619967386566,0.5997528491006453,medium,debugging,underspecified;diagnose-first;modify-existing,60.0,900.0,42,0,1705,False,0.08691405666666667
prog16-claude-codezen-viable-torch-pipeline-parallelism,torch-pipeline-parallelism__CfjwJAs,torch-pipeline-parallelism,codezen-viable,claude-code,claude-sonnet-5,,False,VerifierTimeoutError,False,True,2.1499668999999995,2685233,163023,2522719,1.164643,147.484863,783.881537,900.101429,1845.193596,,,,,,False,34,34,33,121347,6,0.17647058823529413,6,1,code-review,code-review,12,1,1,6,4,9,0,5,5,4,1.25,True,203.932,0.20588235294117646,6,0.2857142857142857,CLAUDE.md,0,782.811,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify;workflow-authoring,18,code-review;noc-fix;noc-tdd;security-review,4,4,1,0,True,0.9394786225254941,0.7443550909994295,hard,software-engineering,spec-dense;long-horizon;greenfield-algorithmic,240.0,900.0,264,0,6721,False,0.8709794855555555
prog16-claude-codezen-viable-torch-tensor-parallelism,torch-tensor-parallelism__5o4MZQG,torch-tensor-parallelism,codezen-viable,claude-code,claude-sonnet-5,0.0,False,,False,False,0.655768,950189,27220,899240,1.858894,202.139666,361.839278,116.928551,695.679201,3,2,1,0,0.6666666666666666,True,19,19,20,19229,0,0.0,0,1,noc-tdd,noc-tdd,13,3,2,3,5,3,0,2,2,2,1.0,True,268.296,0.6842105263157895,3,0.16666666666666666,CLAUDE.md,0,353.035,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;noc-fix;noc-tdd;run;run-skill-generator;security-review;simplify;update-config;verify;workflow-authoring,18,code-review;noc-fix;noc-tdd;security-review,4,4,1,0,True,0.9463801412140112,0.7064290962527553,hard,software-engineering,long-horizon;greenfield-algorithmic,240.0,900.0,179,0,7799,False,0.4020436422222222
prog16-claude-sdd-build-cython-ext,build-cython-ext__DBB9mdA,build-cython-ext,sdd,claude-code,claude-sonnet-5,1.0,True,,False,False,0.8234504,2531493,14005,2484842,1.556536,43.48252,296.771864,6.211033,359.912236,11,11,0,0,1.0,True,43,43,51,5355,0,0.0,0,0,,,41,6,11,10,14,7,3,0,3,3,1.0,False,80.429,0.2558139534883721,8,0.19047619047619047,,0,295.345,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;sdd-analyze;sdd-clarify;sdd-implement;sdd-plan;sdd-specify;sdd-tasks;sdd-verify;simplify;update-config;verify,21,sdd-analyze;sdd-clarify;sdd-implement;sdd-plan;sdd-specify;sdd-tasks;sdd-verify,7,7,0,0,False,0.9815717444211776,0.38236344162799,medium,debugging,diagnose-first;modify-existing;environment-engineering,60.0,900.0,223,0,6367,False,0.32974651555555556
