job_name,task,condition,step_id,t_sec,prompt_tokens,completion_tokens,cached_tokens,thinking_tokens,is_sidechain,stop_reason,n_tool_calls
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,35,261.795,69477,151,68430,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,36,266.801,70350,203,69475,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,37,271.728,71118,174,70348,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,38,276.448,72040,334,71116,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,39,287.907,72528,957,72038,0,False,end_turn,0
prog16-claude-baseline-build-pmars,build-pmars,baseline,2,3.53,30567,233,27563,106,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,3,7.418,31094,146,30565,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,4,12.968,31420,171,31092,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,5,16.9,31912,279,31418,105,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,6,31.905,32421,124,31910,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,7,37.83,33427,219,32419,148,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,8,42.4,34238,117,33425,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,9,45.396,34749,154,34236,65,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,10,48.558,36566,158,34747,66,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,11,51.097,36974,69,36564,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,12,55.639,38118,318,36972,216,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,13,62.653,39229,528,38116,426,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,14,67.261,40374,330,39227,263,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,15,72.242,41935,391,40372,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,16,74.476,42440,86,41933,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,17,77.873,43723,110,42438,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,18,80.09,43890,57,43721,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,19,82.609,44096,146,43888,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,20,86.496,44309,170,44094,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,21,90.435,45341,128,44307,41,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,22,93.021,46514,150,45339,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,23,96.097,47155,234,46512,0,False,tool_use,1
prog16-claude-baseline-build-pmars,build-pmars,baseline,24,103.01,47567,792,47153,391,False,end_turn,0
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,2,21.677,30551,2176,27563,2090,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,3,34.988,32779,1340,30549,1080,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,4,38.571,34194,519,32777,58,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,5,43.384,34792,103,34192,0,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,6,46.253,35018,201,34790,0,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,7,48.299,35325,98,35016,0,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,8,86.285,36388,3551,35323,3278,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,9,139.554,40781,4665,36386,4534,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,10,185.415,47943,4418,40779,4289,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,11,202.993,54828,1756,47941,1406,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,12,206.982,56665,154,54826,0,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,13,218.285,56957,573,56663,412,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,14,238.228,58361,2078,56955,1709,False,tool_use,1
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,15,246.136,60496,507,58359,0,False,end_turn,0
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,2,4.503,30723,233,27563,126,False,tool_use,2
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,3,737.273,35782,64000,30721,64000,False,max_tokens,0
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,4,1141.064,35844,34576,30721,34461,False,tool_use,1
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,5,1144.537,70523,480,35842,24,False,tool_use,1
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,6,1151.602,71059,243,70521,93,False,tool_use,1
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,7,1230.818,71355,9590,71057,6796,False,tool_use,1
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,8,1256.768,81024,286,71353,193,False,tool_use,1
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,9,1260.045,81369,118,81022,0,False,tool_use,1
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,10,1263.175,81548,448,81367,0,False,tool_use,1
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,11,1307.117,83775,600,81546,448,False,tool_use,1
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,12,1319.03,84433,824,83773,629,False,tool_use,1
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,13,1332.852,85326,1258,84431,662,False,end_turn,0
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,2,2.017,30804,138,27563,15,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,3,14.771,33921,935,30802,796,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,4,17.651,35439,106,33919,25,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,5,20.873,35767,102,35437,0,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,6,66.729,38851,4973,35765,4499,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,7,76.364,44224,173,38849,0,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,8,80.606,44618,336,44222,0,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,9,83.137,45058,441,44616,0,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,10,99.866,45905,970,45056,798,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,11,136.136,48285,3028,45903,2809,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,12,139.459,51835,133,48283,42,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,13,145.178,52872,484,51833,287,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,14,153.866,56095,611,52870,435,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,15,167.194,57697,888,56093,677,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,16,172.52,58640,307,57695,117,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,17,178.025,59246,637,58638,248,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,18,185.224,60447,420,59244,204,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,19,205.903,61901,1612,60445,1364,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,20,220.74,64084,1143,61899,875,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,21,254.968,67650,2861,64082,2586,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,22,271.21,71299,1173,67648,940,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,23,347.406,76363,6332,71297,6063,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,24,373.098,84065,1989,76361,1816,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,25,377.321,86145,256,84063,68,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,26,381.723,87946,309,86143,116,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,27,403.881,89017,1749,87944,1541,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,28,413.366,90993,837,89015,453,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,29,423.503,92930,794,90991,458,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,30,436.203,94189,798,92928,594,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,31,446.854,97199,835,94187,589,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,32,453.61,99210,127,97197,0,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,33,457.501,99538,250,99208,130,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,34,472.863,105943,1262,99536,1140,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,35,578.966,107756,9980,105941,9711,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,36,588.377,118179,660,107754,0,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,37,593.007,118943,411,118177,0,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,38,597.79,119693,119,118941,0,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,39,602.177,119868,178,119691,0,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,40,610.741,120973,631,119866,449,False,tool_use,1
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash,baseline,41,627.54,122547,892,120971,0,False,end_turn,0
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,2,3.407,30521,255,27563,58,False,tool_use,2
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,3,8.786,30912,187,30519,0,False,tool_use,2
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,4,12.536,44706,372,30910,86,False,tool_use,2
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,5,17.88,45212,188,44704,40,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,6,23.837,46942,315,45210,179,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,7,27.75,48196,175,46940,40,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,8,31.662,50413,153,48194,0,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,9,39.35,57062,678,50411,438,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,10,72.173,60426,2977,57060,2813,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,11,106.938,63659,3303,60424,3011,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,12,113.208,67153,283,63657,0,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,13,117.021,67551,171,67151,0,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,14,121.399,68015,158,67549,50,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,15,124.914,68240,172,68013,0,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,16,137.138,69607,195,68238,0,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,17,140.979,69936,164,69605,0,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,18,144.979,70248,111,69934,17,False,tool_use,1
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc,baseline,19,150.339,70414,121,70246,95,False,end_turn,0
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,2,2.763,30741,164,27563,48,False,tool_use,1
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,3,6.963,30995,131,30739,0,False,tool_use,1
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,4,14.253,32143,263,30993,0,False,tool_use,1
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,5,18.021,32485,137,32141,0,False,tool_use,1
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,6,20.271,32749,105,32483,0,False,tool_use,1
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,7,22.386,35027,452,32747,0,False,tool_use,1
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,8,27.809,35554,163,35025,0,False,tool_use,1
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,9,31.844,35767,200,35552,26,False,tool_use,1
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,10,35.625,36053,406,35765,52,False,tool_use,1
prog16-claude-baseline-kv-store-grpc,kv-store-grpc,baseline,11,40.819,36524,237,36051,0,False,end_turn,0
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,2,6.596,30525,583,27563,361,False,tool_use,2
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,3,15.21,31734,530,30523,389,False,tool_use,2
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,4,20.132,37229,441,31732,167,False,tool_use,4
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,5,40.51,76631,1733,37227,1514,False,tool_use,2
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,6,49.15,80812,619,76629,480,False,tool_use,2
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,7,62.38,88034,1005,80810,762,False,tool_use,2
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,8,72.275,92786,799,88032,571,False,tool_use,2
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,9,95.704,95692,1800,92784,1583,False,tool_use,2
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,10,99.98,97987,197,95690,85,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,11,103.588,98298,209,97985,77,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,12,107.582,98660,90,98296,24,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,13,112.193,99179,471,98658,0,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,14,117.548,99729,59,99177,0,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,15,163.694,100440,3736,99727,3166,False,tool_use,2
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,16,171.583,104350,152,100438,90,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,17,180.39,105152,816,104348,485,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,18,185.285,106049,111,105150,0,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,19,227.805,106646,3550,106047,3454,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,20,382.577,125950,13836,106644,13592,False,tool_use,2
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,21,392.236,142182,597,125948,475,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,22,654.061,142959,23192,142180,23038,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,23,658.809,167575,291,142957,69,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,24,807.605,168509,25015,167573,13041,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,25,894.437,193600,1049,168507,470,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,26,929.254,194752,3176,193598,2815,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,27,957.02,198031,2232,194750,2124,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,28,988.93,200325,486,198029,305,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,29,1015.202,201717,457,200323,241,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,30,1086.951,202924,777,201715,236,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,31,1111.404,203957,1823,202922,1698,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,32,1122.689,206223,972,203955,754,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,33,1128.237,207483,146,206221,0,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,34,1139.894,208033,1034,207481,713,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,35,1235.74,210634,270,208031,0,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,36,1240.461,211251,116,210632,36,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,37,1243.437,211419,60,211249,0,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,38,1251.51,211883,785,211417,450,False,tool_use,1
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter,baseline,39,1263.594,212740,728,211881,0,False,end_turn,0
prog16-claude-baseline-path-tracing,path-tracing,baseline,2,3.483,30635,145,27563,22,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,3,8.99,30862,311,30633,59,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,4,14.297,31274,88,30860,0,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,5,17.644,31486,94,31272,0,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,6,21.382,31669,655,31484,61,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,7,33.235,32517,372,31667,295,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,8,36.739,33019,128,32515,0,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,9,40.323,33488,72,33017,0,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,10,54.434,34257,1158,33486,890,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,11,74.485,36622,1487,34255,1241,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,12,81.23,38469,489,36620,194,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,13,88.505,39108,492,38467,191,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,14,150.693,41022,5106,39106,4767,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,15,194.337,49209,3370,41020,3169,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,16,213.499,52996,1365,49207,1163,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,17,246.743,55138,2794,52994,2496,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,18,260.1,59330,2702,55136,735,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,19,289.043,62122,1179,59328,998,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,20,295.406,63423,260,62120,120,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,21,360.648,64076,5409,63421,5021,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,22,371.874,69560,703,64074,395,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,23,425.459,71103,5368,69558,4376,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,24,442.762,76656,1151,71101,575,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,25,453.31,77875,901,76654,321,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,26,480.344,78844,1964,77873,1648,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,27,495.398,81314,821,78842,758,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,28,499.453,82241,1987,81312,130,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,29,520.588,84343,1414,82239,393,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,30,554.38,85845,2356,84341,1995,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,31,560.217,88413,167,85843,34,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,32,578.753,88876,2145,88411,1287,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,33,617.122,91148,1430,88874,554,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,34,663.336,92706,1296,91146,423,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,35,790.212,94128,1988,92704,1791,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,36,808.542,96215,1447,94126,1029,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,37,832.811,98906,1888,96213,1517,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,38,858.106,100893,3534,98904,1683,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,39,907.358,104885,2522,100891,1916,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,40,971.158,107713,4969,104883,4090,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,41,988.73,112972,1019,107711,618,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,42,999.316,114316,1059,112970,344,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,43,1020.329,115558,1678,114314,984,False,tool_use,1
prog16-claude-baseline-path-tracing,path-tracing,baseline,44,1031.163,117667,337,115556,184,False,tool_use,1
